zip_code,year,median_household_income
85746,2011,45096
85750,2011,80900
85714,2011,26683
85641,2011,80625
85710,2011,42423
85704,2011,55904
85705,2011,25350
85718,2011,75818
85719,2011,29298
85742,2011,69879
85743,2011,67434
85745,2011,49662
85747,2011,78212
85749,2011,82069
85712,2011,32641
85739,2011,57044
85707,2011,45481
85724,2011,-666666666
85755,2011,68892
85756,2011,47150
85757,2011,49919
85715,2011,55321
85737,2011,83314
85741,2011,55714
85748,2011,66617
85711,2011,36189
85713,2011,31992
85730,2011,49648
85716,2011,32370
85701,2011,29262
85706,2011,29883
85735,2011,46606
33612,2011,30456
33614,2011,36864
33615,2011,45739
33620,2011,-666666666
33607,2011,30774
33609,2011,61004
33617,2011,39551
33647,2011,71055
33705,2011,34251
33556,2011,90826
33604,2011,36633
33618,2011,60824
33637,2011,42208
33763,2011,38217
33602,2011,60510
33624,2011,60596
34677,2011,57642
33619,2011,35135
33545,2011,69391
33559,2011,54727
33634,2011,45517
33629,2011,89019
33606,2011,62742
33616,2011,47097
33605,2011,28100
33610,2011,30750
33611,2011,52941
33625,2011,61709
33635,2011,53159
33511,2011,52820
33603,2011,32832
33613,2011,28793
33621,2011,53462
33626,2011,94690
46077,2011,106386
46128,2011,62663
46208,2011,32944
46219,2011,42589
46239,2011,63090
46241,2011,35278
46033,2011,114941
46240,2011,52929
46142,2011,68122
46203,2011,32770
46222,2011,28149
46224,2011,33079
46226,2011,36163
46228,2011,59786
46231,2011,66496
46254,2011,41354
46260,2011,42400
46278,2011,108654
46112,2011,75890
46113,2011,62299
46218,2011,27664
46220,2011,61907
46236,2011,82434
46221,2011,45329
46227,2011,39447
46268,2011,43894
46143,2011,69811
46202,2011,33009
46205,2011,37374
46217,2011,60381
46259,2011,85252
46037,2011,105040
46201,2011,27515
46225,2011,26889
46234,2011,62032
46250,2011,54752
46229,2011,44804
46235,2011,35484
46032,2011,93835
46204,2011,24486
46214,2011,40015
46216,2011,40417
46237,2011,58540
46256,2011,75697
46280,2011,60294
46290,2011,179500
37138,2011,55741
37207,2011,30780
37208,2011,22679
37203,2011,25852
37205,2011,82476
37214,2011,48684
37026,2011,42361
37115,2011,36826
37135,2011,97438
37201,2011,51678
37213,2011,29125
37067,2011,88540
37013,2011,48198
37076,2011,52428
37072,2011,51353
37206,2011,32697
37210,2011,25662
37215,2011,90899
37220,2011,95878
37221,2011,66982
37209,2011,41023
37217,2011,41957
37219,2011,44543
37027,2011,113696
37189,2011,46068
37228,2011,15819
37211,2011,43858
37212,2011,50531
37216,2011,46033
37218,2011,46829
37204,2011,62818
37243,2011,-666666666
37246,2011,-666666666
19115,2011,47547
19120,2011,34129
19150,2011,46622
19087,2011,103020
19111,2011,45855
19123,2011,45044
19142,2011,30581
19143,2011,31724
19148,2011,36561
19149,2011,41482
19151,2011,37787
19118,2011,80950
19121,2011,14984
19128,2011,61216
19131,2011,30912
19135,2011,36480
19102,2011,65703
19113,2011,96389
19122,2011,20697
19129,2011,52442
19133,2011,14586
19144,2011,29849
19130,2011,59510
19152,2011,45619
19138,2011,34350
19139,2011,26487
19146,2011,33605
19140,2011,22755
19147,2011,51753
19137,2011,42184
19112,2011,-666666666
19124,2011,28988
19103,2011,55398
19104,2011,21801
19114,2011,53070
19119,2011,56815
19125,2011,39319
19127,2011,55500
19107,2011,42194
19126,2011,40681
19132,2011,21177
19134,2011,24048
19136,2011,42492
19106,2011,93222
19141,2011,31557
19145,2011,35988
19116,2011,56014
19153,2011,51212
19154,2011,59164
19454,2011,82359
85707,2012,45216
85724,2012,-666666666
85755,2012,67077
85756,2012,47446
85757,2012,50865
85715,2012,54016
85737,2012,82768
85741,2012,53943
85748,2012,69368
85711,2012,35091
85713,2012,33232
85730,2012,49271
85716,2012,32510
85701,2012,30121
85706,2012,29142
85746,2012,41113
85750,2012,78856
85714,2012,25912
85735,2012,49655
85641,2012,81452
85710,2012,42788
85704,2012,55158
85705,2012,24477
85718,2012,75705
85719,2012,26907
85742,2012,68189
85743,2012,70449
85745,2012,51610
85747,2012,80763
85749,2012,81824
85712,2012,32007
85739,2012,57869
33605,2012,26537
33610,2012,29567
33611,2012,52970
33625,2012,55514
33635,2012,52663
33511,2012,52461
33603,2012,33213
33613,2012,26991
33621,2012,59375
33626,2012,96498
33602,2012,65148
33624,2012,56881
34677,2012,57392
33612,2012,28632
33614,2012,35008
33615,2012,46827
33620,2012,-666666666
33607,2012,31520
33609,2012,61114
33617,2012,37354
33647,2012,70489
33705,2012,34317
33556,2012,91232
33604,2012,33881
33618,2012,59696
33637,2012,42587
33763,2012,37945
33619,2012,33471
33545,2012,65878
33559,2012,54231
33634,2012,46611
33629,2012,92405
33606,2012,61629
33616,2012,46188
46142,2012,68836
46203,2012,31469
46222,2012,27077
46224,2012,32788
46226,2012,35320
46228,2012,59515
46231,2012,66610
46254,2012,39660
46260,2012,42153
46278,2012,109816
46112,2012,77121
46113,2012,63985
46218,2012,26937
46220,2012,62822
46236,2012,80606
46221,2012,46005
46227,2012,37486
46268,2012,43778
46143,2012,67893
46202,2012,34967
46205,2012,36602
46217,2012,61593
46259,2012,84916
46037,2012,103932
46201,2012,25800
