city,category,name,latitude,longitude,osm_type,osm_id
Tucson,museum,Museum of Art,32.2355764,-110.955811,node,407919783
Tucson,museum,Arizona Historical Society Downtown Museum,32.2237005,-110.971271,node,4414001868
Tucson,attraction,A10 Thunderbolt,32.1868159,-110.8745186,node,4663097738
Tucson,attraction,,32.1866041,-110.8746688,node,4663097739
Tucson,attraction,F4 Phantom,32.1863923,-110.8744836,node,4663097740
Tucson,attraction,,32.1862948,-110.8742483,node,4663097741
Tucson,attraction,,32.1863923,-110.8740181,node,4663097742
Tucson,attraction,C 130,32.1860274,-110.8721207,node,4663098124
Tucson,attraction,U2,32.1853627,-110.8747944,node,4663098125
Tucson,attraction,,32.1855915,-110.872365,node,4663098126
Tucson,attraction,O1 Bird Dog,32.1863203,-110.8718185,node,4663098128
Tucson,attraction,OV 10 Bronco,32.1862292,-110.8716416,node,4663098129
Tucson,attraction,,32.1797587,-110.8574831,node,4663162548
Tucson,attraction,,32.2260933,-110.9747165,node,6139474286
Tucson,university,University of Phoenix,32.2178338,-110.875869,node,7998330649
Tucson,attraction,Community Mural,32.216114,-110.9740562,node,8443948918
Tucson,attraction,Selena Mural,32.2040575,-110.9652203,node,8443949023
Tucson,attraction,Goddess of Agave,32.2275423,-110.9699838,node,8443949024
Tucson,attraction,La Pilita Mural,32.2159292,-110.9744817,node,8443949328
Tucson,attraction,Mural No tell Motel,32.2519139,-110.9783948,node,8443949329
Tucson,attraction,Butterfly Mural,32.2252185,-110.9653008,node,8443950319
Tucson,attraction,Water Harvesting Feature,32.2481461,-110.9080915,node,9077643496
Tucson,attraction,Zen Garden Ramada,32.2479913,-110.9085924,node,9077961444
Tucson,attraction,Wildlife/Woodlands Ramada,32.2479697,-110.9085153,node,9077961445
Tucson,attraction,Floral Patio,32.2479845,-110.90841,node,9077961446
Tucson,attraction,Kitchen Courtyard,32.2479709,-110.9083007,node,9077961447
Tucson,attraction,Cactus and Succulent Ramada,32.247976,-110.9081901,node,9077961448
Tucson,attraction,Chrysalis Exhibit,32.2479987,-110.9089434,node,9077961449
Tucson,attraction,Cattletank History Wall,32.248008,-110.9093133,node,9077961463
Tucson,attraction,Sig Boysen Home Composting Site,32.248736,-110.9076771,node,9078198742
Tucson,attraction,Rio Grande Steel Sided Caboose 01433,32.2792523,-111.0106113,node,9950244877
Tucson,museum,Tucson Desert Art Museum,32.2499355,-110.8418881,node,10577042439
Tucson,attraction,F86,32.1761295,-110.8829404,node,10665391032
Tucson,park,Malvern Plaza,32.2164408,-110.9324795,node,11261235413
Tucson,attraction,The Great Garden Express,32.2484223,-110.9089613,node,13243325341
Tucson,museum,Presidio San Agustin Del Tucson,32.2242445,-110.9737999,node,13612645947
Tucson,park,Agua Nueva Park,32.280674,-111.0271196,node,13979593033
Tucson,stadium,Arizona Stadium,32.228856,-110.9487789,way,31791120
Tucson,park,Linden Park,32.2170525,-110.8961697,way,31856877
Tucson,university,Mathematics East,32.2291064,-110.9526111,way,32929446
Tucson,park,The Main Mall,32.2319054,-110.9462443,way,32929786
Tucson,park,Highland Quad,32.2289797,-110.952032,way,32930202
Tucson,museum,Arizona State Museum South,32.2312162,-110.956103,way,32942742
Tucson,museum,Arizona State Museum,32.2325207,-110.9557594,way,32974694
Tucson,stadium,Hillenbrand Stadium,32.2333536,-110.9460005,way,33077192
Tucson,university,Steele MCRC,32.2405537,-110.9464598,way,34197116
Tucson,university,Steele Children's Research Center,32.2402901,-110.9460883,way,34197122
Tucson,university,Pharmacy,32.2390658,-110.9463368,way,34197140
Tucson,university,Medical Research Building,32.2383236,-110.9474496,way,34287101
Tucson,university,Thomas W. Keating Bioresearch,32.2377188,-110.9473139,way,34287167
Tucson,university,Rountree Hall,32.2368954,-110.9527366,way,34288621
Tucson,university,Visual Arts Graduate Research Laboratory,32.2382712,-110.9556739,way,34319012
Tucson,museum,Tucson Museum of Art,32.223431,-110.9749746,way,34616884
Tucson,museum,La Casa Cordova,32.2239066,-110.9747187,way,34616930
Tucson,park,El Presidio Plaza,32.2229361,-110.9738409,way,34617070
Tucson,attraction,,32.2233744,-110.9747566,way,34625474
Tucson,park,Plaza de la Mesilla,32.221033,-110.9733588,way,34689265
Tucson,museum,Old Pueblo Trolley Barn,32.2248991,-110.9661556,way,34689625
Tucson,museum,Tucson Children's Museum,32.219191,-110.9692376,way,34690363
Tucson,park,Armory Park,32.2192335,-110.9678058,way,34690681
Tucson,park,Geronimo Center,32.231419,-110.9588698,way,34817334
Tucson,stadium,Tucson Arena,32.2182832,-110.9736953,way,34838582
Tucson,university,Undergraduate Law Program,32.2375194,-110.9527291,way,34865232
Tucson,university,Economic Development,32.2380794,-110.9535389,way,34865257
Tucson,university,ARL Annex,32.2380831,-110.9526935,way,34865271
Tucson,university,Program in Integrative Medicine,32.2384388,-110.952745,way,34865275
Tucson,university,Udall Center for Studies in Public Policy,32.2382086,-110.952965,way,34865290
Tucson,university,,32.2376475,-110.9522171,way,34865372
Tucson,university,,32.237564,-110.9519253,way,34865403
Tucson,university,,32.2378689,-110.9519425,way,34865407
Tucson,university,,32.2378616,-110.9522214,way,34865433
Tucson,university,Art Works A,32.2375607,-110.9495634,way,34865636
Tucson,university,Art Works B,32.2375865,-110.949421,way,34865639
Tucson,university,Art Works C,32.2375649,-110.9492704,way,34865642
Tucson,university,Sonoran UCEDD,32.2376011,-110.9490258,way,34865645
Tucson,university,,32.2376017,-110.9487707,way,34865657
Tucson,university,,32.2376198,-110.9484451,way,34865662
Tucson,university,Hazardous & Radioactive Waste Storage,32.2417444,-110.9488325,way,34865921
Tucson,university,,32.2417418,-110.9483503,way,34865938
Tucson,university,,32.2411093,-110.9489374,way,34865942
Tucson,university,,32.2410888,-110.9483436,way,34865958
Tucson,university,Physiology,32.2388959,-110.9489327,way,34990181
Tucson,university,Family & Community Medicine,32.2388705,-110.9487697,way,34990202
Tucson,university,Coph-Drachman House,32.2393857,-110.9487913,way,34990265
Tucson,university,,32.2423225,-110.9494777,way,34990383
Tucson,university,Facilities Management Warehouse,32.2429504,-110.9494091,way,34990416
Tucson,university,,32.2435203,-110.9495421,way,34990532
Tucson,university,,32.2434804,-110.949186,way,34990539
Tucson,university,,32.2434694,-110.9490143,way,34990551
Tucson,university,,32.2434948,-110.9485036,way,34990560
Tucson,park,Iron Horse Park,32.2220339,-110.9624398,way,34993800
Tucson,park,Jardin de Caesar Chavez,32.2124798,-110.9691445,way,35023305
Tucson,park,Gene C. Reid Park,32.2106695,-110.9222757,way,35070400
Tucson,zoo,Reid Park Zoo,32.2086402,-110.9202126,way,35070707
Tucson,park,Estevan Park,32.2346923,-110.979665,way,36888082
Tucson,park,Chuck Ford Lakeside Park,32.1881294,-110.8188957,way,38133434
Tucson,park,Lincoln Regional Park,32.1700627,-110.8153743,way,38268818
Tucson,mall,Park Place Mall,32.2192482,-110.8656657,way,38313075
Tucson,mall,Tucson Mall,32.2891662,-110.9741893,way,38314458
Tucson,museum,Southern Arizona Transportation Museum,32.223718,-110.9673459,way,42342366
Tucson,park,Sweetwater Wetlands,32.2777025,-111.0241381,way,44935041
Tucson,park,The Main Mall,32.2318959,-110.9503087,way,50619003
Tucson,park,Mitchell Park,32.2554062,-110.9546303,way,66225807
Tucson,university,Udall Center for Studies in Public Policy West,32.2345899,-110.9591381,way,67339177
Tucson,university,Natural Resources Wildlife Program,32.2252877,-110.9552176,way,67355495
Tucson,stadium,McKale Memorial Center,32.2304676,-110.9459957,way,113835570
Tucson,park,Waverly Circle Park,32.2454965,-110.9414289,way,117683642
Tucson,park,Tahoe Park,32.2482617,-110.941996,way,117684030
Tucson,park,Jefferson Park,32.2473392,-110.9465044,way,117694061
Tucson,park,Bravo Park,32.16948,-110.9510144,way,117767654
Tucson,park,LaMadera Park,32.2594605,-110.9310615,way,118410642
Tucson,park,Conner Park,32.2571247,-110.9398455,way,118410643
Tucson,museum,390th Memorial Museum,32.1397761,-110.8680476,way,118506486
Tucson,museum,Pima Air & Space Museum,32.1378709,-110.8677838,way,118506489
Tucson,park,Doris J. Thompson Park,32.2477477,-110.9673006,way,152840731
Tucson,park,Swanway Park,32.2353106,-110.8894221,way,160108211
Tucson,park,James C Thomas Park,32.1860157,-110.9313705,way,160220805
Tucson,park,Swan Park,32.2019628,-110.894525,way,162853348
Tucson,park,Villa Serena Park,32.2449101,-110.8649731,way,182260988
Tucson,park,Himmel Park,32.2336253,-110.933228,way,188425421
Tucson,park,De Anza Park,32.2350774,-110.9710355,way,188426015
Tucson,park,Toumey Park,32.2109253,-110.8963262,way,193045605
Tucson,park,Joaquin Murrieta Park,32.2417601,-111.0051324,way,225335466
Tucson,park,Pinecrest Park,32.2394694,-110.8889128,way,229024466
Tucson,park,Burns Park,32.2250891,-110.891406,way,229485298
Tucson,park,Desert Aire Park,32.2122796,-110.8785373,way,229488734
Tucson,mall,,32.2497213,-110.9078739,way,229489852
Tucson,park,McCormick Park,32.2611247,-110.8997202,way,229521440
Tucson,park,Grant and Campbell Park,32.2502592,-110.9449574,way,229522277
Tucson,mall,,32.2717102,-110.9457518,way,229550360
Tucson,mall,,32.2874081,-110.9658221,way,229559668
Tucson,park,Jacobs Park,32.268475,-110.9887642,way,229563312
Tucson,park,Mehl Foothills Park,32.2758236,-110.9062489,way,229569560
Tucson,park,North Sixth Avenue Dog Park,32.2467189,-110.9692053,way,229587726
Tucson,mall,,32.2506391,-110.9435652,way,229629771
Tucson,mall,,32.2661631,-110.943268,way,229650422
Tucson,mall,,32.2077322,-110.9021202,way,229822324
Tucson,park,Fort Lowell Park,32.2597924,-110.8712714,way,230173978
Tucson,park,Alvernon Park,32.2308111,-110.9077659,way,230174108
Tucson,mall,,32.2368297,-110.894547,way,230395074
Tucson,park,Morris K. Udall Park,32.2466966,-110.8365218,way,230396809
Tucson,park,Hoffman Park,32.2170309,-110.8878018,way,230615519
Tucson,mall,,32.2512134,-110.8876807,way,230776952
Tucson,mall,,32.2518506,-110.8910508,way,230776960
Tucson,mall,,32.251586,-110.8898885,way,230776965
Tucson,park,Navajo Park,32.2662654,-110.9627561,way,230908685
Tucson,park,Rio Vista Natural Resources Park,32.2794659,-110.9332576,way,231404911
Tucson,park,Sears Park,32.2189565,-110.8654954,way,232233478
Tucson,park,Catalina Park,32.2336152,-110.9664268,way,232246152
Tucson,park,Highland Vista Park,32.2255145,-110.8794397,way,233336610
Tucson,park,Jesse Owens Park,32.2157504,-110.8163211,way,233913369
Tucson,university,Laboratory of Tree-Ring Research,32.2289642,-110.9524996,way,234728716
Tucson,museum,H. H. Franklin Auto Museum,32.2694772,-110.9495415,way,236507294
Tucson,mall,,32.2852467,-110.979996,way,240575020
Tucson,theme_park,Funtasticks,32.2875053,-110.9683112,way,240591239
Tucson,park,Jacobs Park Soccer Complex,32.2696258,-110.9855811,way,240776790
Tucson,theme_park,Golf 'n Stuff,32.2464962,-110.8547779,way,240893822
Tucson,park,Limberlost Family Park,32.2836364,-110.9665259,way,240895480
Tucson,park,Rillito Park and Racetrack,32.2906291,-110.9566171,way,243738218
Tucson,park,Parkview Park,32.2039474,-110.9140753,way,243875476
Tucson,park,Felix Lucero Garden of Gethsemane,32.2209382,-110.9823978,way,244109834
Tucson,park,Freedom Park,32.1978103,-110.8858876,way,245599453
Tucson,park,Todd M. Harris Sports Complex,32.1942618,-110.8807311,way,245599454
Tucson,park,Tierra del Sol Park,32.1974795,-110.8485976,way,253413608
Tucson,park,Purple Heart Park,32.1031395,-110.784388,way,271787835
Tucson,park,Hacienda Del Oro Park,32.0985033,-110.7794509,way,273814630
Tucson,museum,The Mini Time Machine Museum,32.2657321,-110.8955336,way,275869011
Tucson,attraction,Barrio Histórico District,32.2160139,-110.972583,way,276161742
Tucson,park,Mission Park,32.1444199,-110.9797754,way,286360610
Tucson,park,Michael Perry Park,32.1889189,-110.80454,way,315560933
Tucson,park,Mesa Village Park,32.2117366,-110.8710028,way,316215499
Tucson,park,Wilshire Heights Park,32.2161789,-110.8732475,way,316215500
Tucson,park,Keeling Desert Park,32.2580385,-110.9688364,way,318346003
Tucson,park,Silverlake Park,32.1960607,-110.9498538,way,320349644
Tucson,park,Mirasol Park,32.2001769,-110.9533816,way,320349681
Tucson,park,Juhan Park,32.2550956,-111.0024838,way,326532275
Tucson,park,Rolling Hills Park,32.1980336,-110.8040996,way,336596122
Tucson,park,Pima Prickly Park,32.3145375,-111.0392645,way,344769191
Tucson,park,Tucson Radio Control Club,32.1200744,-110.76232,way,348383316
Tucson,stadium,,32.1343953,-110.8729893,way,383783652
Tucson,stadium,,32.134541,-110.8730266,way,383783653
Tucson,stadium,,32.1343591,-110.872832,way,383783658
Tucson,stadium,,32.1366846,-110.8742917,way,383783665
Tucson,park,Rudy Garcia Park,32.1603316,-110.9658187,way,387116138
Tucson,park,El Paso and Southwestern Greenway,32.2161425,-110.9780008,way,398118932
Tucson,park,El Paso and Southwestern Greenway,32.2256153,-110.9805345,way,398120175
Tucson,park,Sarah Ann Miller Park,32.152602,-111.00219,way,427552421
Tucson,park,Grijalva Park,32.1471189,-111.0059821,way,427552435
Tucson,park,El Pueblo Park,32.1608524,-110.9694756,way,435082308
Tucson,park,Escalante Park,32.1800436,-110.8443126,way,437225932
Tucson,park,Vista del Prado Park,32.1838645,-110.8459461,way,437225933
Tucson,park,Roy Schoonover Trailhead,32.1153062,-110.8400848,way,437230400
Tucson,museum,Gadsden-Pacific Division Toy Train Operating Museum,32.2797137,-111.0106557,way,441860663
Tucson,park,Jácome Plaza,32.2233501,-110.9721528,way,443867011
Tucson,park,Francisco Elias Esquer Park,32.2398743,-110.9810665,way,448415159
Tucson,park,San Paulo Village Park,32.204159,-110.8625758,way,461498019
Tucson,park,Desert Shadows Park,32.1605571,-110.9398156,way,462246049
Tucson,park,Manuel Herrera Junior Park,32.1450633,-110.9722048,way,462246050
Tucson,park,Laguna Park,32.2581318,-110.975419,way,463034007
Tucson,park,Balboa Heights Park,32.2532305,-110.9735405,way,463034008
Tucson,park,Jacinto Park,32.2543727,-110.9827745,way,463034048
Tucson,park,Manuel Valenzuela Alvarez Park,32.2460401,-110.9840631,way,463034111
Tucson,park,Menlo Park,32.2263595,-110.9908617,way,463126485
Tucson,park,Bonita Park,32.2218888,-110.9825047,way,463126486
Tucson,attraction,"The big ""A""",32.2106344,-110.991712,way,464194199
Tucson,park,Harold Bell Wright Park,32.2289234,-110.8561441,way,483576387
Tucson,park,Midvale Fitness Park,32.1395885,-110.9996442,way,487080188
Tucson,park,Sierra Morado Community Center,32.1460838,-110.7636683,way,488341526
Tucson,park,Sculpture Garden,32.2353022,-110.9553061,way,491267097
Tucson,museum,J. Knox Corbett House,32.2239239,-110.9754396,way,529116792
Tucson,park,Meadow Park,32.1619548,-110.9537017,way,553350529
Tucson,park,Bristol Park,32.2014679,-110.9322638,way,562070055
Tucson,park,Santa Cruz River Park,32.2418759,-110.9893175,way,569146498
Tucson,park,Binghampton Family Park,32.2700667,-110.9123119,way,569491695
Tucson,attraction,Miracle Mile Historic District,32.2442954,-110.9802768,way,619557591
Tucson,museum,Ignite Sign Art Museum,32.2181449,-110.9406543,way,633129172
Tucson,attraction,Tucson Presidio,32.2243716,-110.9734972,way,663682559
Tucson,attraction,Snob Hollow,32.2255757,-110.9762849,way,663694042
Tucson,park,Stevens Plaza,32.2236754,-110.9659295,way,668785124
Tucson,park,Willie Blake Junior Community Park,32.1834774,-110.9380673,way,715469159
Tucson,university,Bioscience Research Laboratories,32.2380012,-110.9479018,way,725309136
Tucson,park,Verdugo Park,32.2108707,-110.9840795,way,738408973
Tucson,park,Butterfly Park,32.2552957,-110.9206796,way,777554627
Tucson,park,Barrio San Antonio Park,32.2163338,-110.9531901,way,790569638
Tucson,park,Escalante Park,32.1790587,-110.8449162,way,822688514
Tucson,park,Hoffman Mini Park,32.2152065,-110.8871266,way,830612358
