variable,Tucson_HR,Tucson_p,Tampa_HR,Tampa_p,Indianapolis_HR,Indianapolis_p,Nashville_HR,Nashville_p,Philadelphia_HR,Philadelphia_p,AllCities_MERGED_HR,AllCities_MERGED_p
pricing,1.0167,0.7791,0.9803,0.708,0.9992,0.9875,0.9697,0.4978,1.031,0.2912,1.0084,0.6665
category_popularity,0.965,0.0752,0.9722,0.1506,0.9794,0.2924,0.9835,0.4381,0.9935,0.6112,0.9818,0.0201
groupon,1.007,0.9732,1.2154,0.2461,1.279,0.1717,1.1597,0.4936,1.1654,0.2226,1.1719,0.0366
near_mall,1.0255,0.3397,0.997,0.9043,1.0176,0.4442,0.9723,0.3538,1.0136,0.3174,1.012,0.188
near_university,1.024,0.3657,1.0117,0.7182,0.9929,0.8622,1.0026,0.9101,1.0151,0.2525,1.0143,0.1176
attributes_count,0.9667,0.0005,0.9757,0.0102,0.9747,0.006,0.9741,0.0104,0.969,0.0,0.9717,0.0
sum_rev_count,0.9998,0.986,0.998,0.8362,1.0044,0.6368,0.9953,0.6443,0.9939,0.345,0.9971,0.4516
three_rev_avg_stars,0.9945,0.5718,0.9807,0.0415,0.9923,0.4089,0.9893,0.2946,0.9813,0.0034,0.9868,0.0006
num_neighbors,1.0169,0.0862,1.0176,0.0694,1.0175,0.0637,1.0115,0.2688,1.0172,0.0091,1.013,0.0009
failed_neighbors,1.0209,0.034,1.0272,0.0053,1.0285,0.0027,1.0208,0.045,1.0361,0.0,1.0293,0.0
same_p_n_rat,0.9884,0.2307,0.9927,0.4447,0.9861,0.134,0.9975,0.8036,0.9892,0.0918,0.9899,0.0086
same_cat_n_rat,0.9877,0.203,0.9885,0.2271,0.9925,0.4234,0.9967,0.7493,1.0002,0.976,0.994,0.1225
fran_neigh_rat,1.0023,0.8096,0.9997,0.9789,0.9913,0.3507,0.9931,0.4968,0.9961,0.5449,0.9952,0.2154
median_household_income,0.9984,0.8687,1.0177,0.0667,1.0081,0.3845,1.0063,0.5424,1.021,0.0013,1.0139,0.0004
amenity_access,1.0103,0.2949,1.0071,0.4625,1.0111,0.2382,1.0085,0.4137,1.0186,0.0046,1.013,0.0009
poi_diversity,1.0125,0.2024,1.0063,0.5109,1.0085,0.3658,1.0026,0.8037,1.01,0.1258,1.0098,0.0125
poi_advantage,0.9994,0.9544,0.9989,0.9046,1.0014,0.8824,0.9971,0.7774,1.004,0.5343,1.0018,0.6489
local_churn_1yr,1.0103,0.2947,1.0132,0.1731,1.0141,0.1357,1.0105,0.3124,1.0138,0.0349,1.0111,0.0048
mall_competition_interaction,1.0112,0.2517,1.0051,0.5953,1.0118,0.2121,0.9944,0.5817,1.0092,0.1604,1.0073,0.0608
university_competition_interaction,1.0092,0.3472,1.0075,0.4367,0.9985,0.8741,1.0024,0.8166,1.0116,0.0779,1.008,0.04
N_subjects,2466.0,,2960.0,,2862.0,,2502.0,,5852.0,,16642.0,
N_failures,827.0,,996.0,,958.0,,821.0,,2327.0,,5929.0,
