variable,hazard_ratio,p,sig,HR_str
pricing,1.0083691333378233,0.6664849954639231,,1.0084
category_popularity,0.9817831297027272,0.020082110184590263,**,0.9818**
groupon,1.1718842393545474,0.036552651165133246,**,1.1719**
near_mall,1.0119876455957038,0.18802556691314545,,1.0120
near_university,1.014260613578925,0.1176081771936923,,1.0143
attributes_count,0.9717169802812832,1.2141200360819238e-13,***,0.9717***
sum_rev_count,0.9970763101872764,0.45155554339092274,,0.9971
three_rev_avg_stars,0.9867741424853785,0.0005800013181454932,***,0.9868***
num_neighbors,1.0130478495641477,0.000903407557974318,***,1.0130***
failed_neighbors,1.0293318120391048,1.1719599893399578e-13,***,1.0293***
same_p_n_rat,0.9898805093182742,0.008648983538443678,***,0.9899***
same_cat_n_rat,0.9940266701268305,0.12251126602539165,,0.9940
fran_neigh_rat,0.9952010725952171,0.21535511908763663,,0.9952
median_household_income,1.0139284637900816,0.0003520318993835907,***,1.0139***
amenity_access,1.0130135640633622,0.0009292482629526566,***,1.0130***
poi_diversity,1.0097909553694002,0.012541130825225006,**,1.0098**
poi_advantage,1.0017533467300312,0.6488824120122207,,1.0018
local_churn_1yr,1.0110665819017168,0.004795801631363916,***,1.0111***
mall_competition_interaction,1.007331984516993,0.06079710213654359,*,1.0073*
university_competition_interaction,1.0080437638881443,0.03996525452282774,**,1.0080**
