variable,hazard_ratio,p,sig,HR_str
pricing,0.9991576073588232,0.9874925723742932,,0.9992
category_popularity,0.9794104769124073,0.2923559072856706,,0.9794
groupon,1.2789654548366316,0.17166927054323125,,1.2790
near_mall,1.01758275039635,0.4442226606467553,,1.0176
near_university,0.9929049520792128,0.8622322900485391,,0.9929
attributes_count,0.9746855408598515,0.00599853884387091,***,0.9747***
sum_rev_count,1.0044237289659883,0.6368266999146284,,1.0044
three_rev_avg_stars,0.9923243761467835,0.40887658479788747,,0.9923
num_neighbors,1.0175485028213742,0.0637243583953602,*,1.0175*
failed_neighbors,1.0285129989095911,0.0027065087685645994,***,1.0285***
same_p_n_rat,0.9861071306541037,0.13396421267333686,,0.9861
same_cat_n_rat,0.9925438569044019,0.4233686314728403,,0.9925
fran_neigh_rat,0.9913099547566426,0.3506848700203721,,0.9913
median_household_income,1.0081467426572537,0.3845087649777914,,1.0081
amenity_access,1.011134877697816,0.23823413687160794,,1.0111
poi_diversity,1.0085256387065336,0.36575791859445406,,1.0085
poi_advantage,1.0013752742764612,0.882368610921586,,1.0014
local_churn_1yr,1.0140915224448528,0.13569712855959545,,1.0141
mall_competition_interaction,1.0117611467586887,0.2120500003117037,,1.0118
university_competition_interaction,0.998526921390616,0.8740517122933507,,0.9985
