variable,hazard_ratio,p,sig,HR_str
pricing,0.969718816356239,0.4978190217858709,,0.9697
category_popularity,0.983459449438928,0.4381296554472638,,0.9835
groupon,1.1597068113448645,0.4936281485370321,,1.1597
near_mall,0.9722542145312099,0.3537808227019611,,0.9723
near_university,1.0025962553380667,0.9101107797829439,,1.0026
attributes_count,0.9741474023958824,0.010441688961086132,**,0.9741**
sum_rev_count,0.9952635818658728,0.6443085430068058,,0.9953
three_rev_avg_stars,0.9893347175541384,0.294563304769261,,0.9893
num_neighbors,1.0114602911176211,0.2688145698582439,,1.0115
failed_neighbors,1.0208064406816455,0.0450203198508291,**,1.0208**
same_p_n_rat,0.9974579907144896,0.8036104950493785,,0.9975
same_cat_n_rat,0.9967276592707625,0.749253978259085,,0.9967
fran_neigh_rat,0.9930502728127903,0.49684386231226707,,0.9931
median_household_income,1.00626871599279,0.5423901900907315,,1.0063
amenity_access,1.0084695794192824,0.4136847680810536,,1.0085
poi_diversity,1.0025627398842287,0.803731785647991,,1.0026
poi_advantage,0.9971184735988355,0.7774393752274061,,0.9971
local_churn_1yr,1.010455372823422,0.31241193855400545,,1.0105
mall_competition_interaction,0.9943578165770279,0.5817285489223865,,0.9944
university_competition_interaction,1.00238809652981,0.8166287116434077,,1.0024
