variable,hazard_ratio,p,sig,HR_str
pricing,1.0310053687246665,0.291161008171665,,1.0310
category_popularity,0.9934586875492055,0.6111782402866419,,0.9935
groupon,1.1654286501092381,0.2225722251964065,,1.1654
near_mall,1.0135943713310358,0.31742397971446157,,1.0136
near_university,1.0151497993553795,0.2525477313576946,,1.0151
attributes_count,0.9689550432020219,9.414141337081863e-07,***,0.9690***
sum_rev_count,0.9939025334761935,0.3450356584576556,,0.9939
three_rev_avg_stars,0.981321307321086,0.003353139441735686,***,0.9813***
num_neighbors,1.0171572521570469,0.009073277446459077,***,1.0172***
failed_neighbors,1.0360645252479914,4.979543430994454e-08,***,1.0361***
same_p_n_rat,0.9892052259442735,0.09179264075825709,*,0.9892*
same_cat_n_rat,1.0001937024609462,0.9760379150231404,,1.0002
fran_neigh_rat,0.996099149737395,0.5448997978849219,,0.9961
median_household_income,1.0210159984190017,0.0012615915072527427,***,1.0210***
amenity_access,1.0186140905795085,0.004635670234357503,***,1.0186***
poi_diversity,1.0100276074170542,0.12576710166871288,,1.0100
poi_advantage,1.0039821117070518,0.5342709151829854,,1.0040
local_churn_1yr,1.0138234627667624,0.03494933026072946,**,1.0138**
mall_competition_interaction,1.009178227522459,0.16036193534653906,,1.0092
university_competition_interaction,1.0115517294277596,0.0778550982240134,*,1.0116*
