variable,hazard_ratio,p,sig,HR_str
pricing,1.0167366143509924,0.779126946838105,,1.0167
category_popularity,0.9649555437756393,0.07518163915965977,*,0.9650*
groupon,1.0070491247476339,0.9732478042624364,,1.0070
near_mall,1.0255102327850556,0.3397193827303983,,1.0255
near_university,1.023982550766201,0.36571860922819444,,1.0240
attributes_count,0.9667339234768854,0.0004889856529237341,***,0.9667***
sum_rev_count,0.9998280458778922,0.9859821247264744,,0.9998
three_rev_avg_stars,0.9945248287265768,0.5717839168634438,,0.9945
num_neighbors,1.016880362562684,0.08616058141865518,*,1.0169*
failed_neighbors,1.020936041340115,0.03397523647170925,**,1.0209**
same_p_n_rat,0.988425996165569,0.23071720084941286,,0.9884
same_cat_n_rat,0.9876932477449559,0.20300408300174075,,0.9877
fran_neigh_rat,1.0023469505112244,0.8096453015901504,,1.0023
median_household_income,0.99839300470495,0.868704028223465,,0.9984
amenity_access,1.0102679982928269,0.2949036952424067,,1.0103
poi_diversity,1.012512668514553,0.20239432024018236,,1.0125
poi_advantage,0.9994468120700968,0.95435687048189,,0.9994
local_churn_1yr,1.0102633323181684,0.29467137033020735,,1.0103
mall_competition_interaction,1.0111852219639594,0.25171300533172564,,1.0112
university_competition_interaction,1.009197704517869,0.3472089544212509,,1.0092
